date,AUD,CAD,CHF,CLP,COP,CZK,EUR,GBP,HKD,HUF,ILS,JPY,MXN,NOK,NZD,PLN,SEK,SGD,USD,ZAR
2006-01-03,5.69383,4.08999,,,,2.77088,3.03996,,4.43018,,5.77987,,8.17,3.515,7.11183,,2.89107,,4.67083,
2006-01-04,5.65559,3.97366,,,,2.73029,2.94028,,4.34014,,5.70045,,8.15046,3.44,7.1204,,2.8221,,4.63963,
2006-01-05,5.63397,3.9274,,,,2.71021,2.92528,,4.29003,,5.90016,,8.18044,3.44,7.12294,,2.80411,,4.64461,
2006-01-06,5.62892,3.97875,,,,2.68,2.92606,,4.3,,5.90016,,8.14053,3.45,7.12623,,2.80411,,4.6681,
2006-01-09,5.62161,3.99535,,,,2.66,2.95224,,4.28,,5.82479,,8.12073,3.445,7.13536,,2.81077,,4.66477,
2006-01-10,5.62016,4.02518,,,,2.68,2.99486,,4.24,,5.84972,,8.12072,3.32,7.16365,,2.82432,,4.71063,
2006-01-11,5.64682,4.07136,,,,2.68051,3.02439,,4.24009,,5.84044,,8.12119,3.35,7.18567,,2.83925,,4.74307,
2006-01-12,5.63945,4.06961,,,,2.66019,2.99252,,4.22017,,5.83988,,8.05097,3.295,7.17065,,2.82301,,4.68263,
2006-01-13,5.59947,4.04241,,,,2.65,2.99514,,4.21008,,5.83988,,7.99061,3.285,7.14716,,2.80126,,4.64298,
2006-01-16,5.58521,4.04241,,,,2.65,2.98573,,4.16,,5.83964,,7.99061,3.285,7.12515,,2.80126,,4.64298,
2006-01-17,5.5994,4.01459,,,,2.55,2.96698,,4.21005,,5.77973,,7.9705,3.255,7.09238,,2.78555,,4.63186,
2006-01-18,5.56699,4.00807,,,,2.5806,2.97431,,4.18008,,5.77994,,7.94129,3.26,7.00879,,2.78836,,4.63189,
2006-01-19,5.58605,4.05999,,,,2.62023,3.03978,,4.18998,,5.72971,,7.91111,3.32,6.98854,,2.83693,,4.67349,
2006-01-20,5.58568,4.05002,,,,2.57,3.05682,,4.23,,5.72971,,7.83068,3.31,6.98216,,2.85611,,4.66365,
2006-01-23,5.58111,4.06697,,,,2.56,3.06651,,4.2,,5.7295,,7.80088,3.325,6.98216,,2.85465,,4.65753,
2006-01-24,5.58232,4.03196,,,,2.57,3.05691,,4.21,,5.72944,,7.77104,3.349,6.98476,,2.82667,,4.67634,
2006-01-25,5.63845,4.08691,,,,2.53068,3.07892,,4.24002,,5.71489,,7.85138,3.37,7.02428,,2.84628,,4.75786,
2006-01-26,5.63845,4.10606,,,,2.53025,3.09357,,4.28015,,5.71432,,7.84088,3.38,7.0286,,2.89178,,4.79554,
2006-01-27,5.6913,4.11406,,,,2.51,3.11629,,4.29,,5.71432,,7.94058,3.38,7.06455,,2.927,,4.79959,
2006-01-30,5.68895,4.1292,,,,2.53,3.1339,,4.29,,5.71436,,8.01064,3.35,7.06455,,2.95616,,4.82521,
2006-01-31,5.67964,4.12159,,,,2.57,3.13159,,4.29,,5.7143,,7.99066,3.37833,7.00357,,2.95418,,4.83332,
2006-02-01,5.66016,4.13815,,,,2.59079,3.1591,,4.31013,,5.85013,,8.03195,3.395,7.03353,,2.97888,,4.88874,
2006-02-02,5.70884,4.17161,,,,2.61028,3.15142,,4.35019,,5.84963,,8.02177,3.438,7.07309,,2.9564,,4.89442,
2006-02-03,5.68645,4.1801,,,,2.58,3.12958,,4.35015,,5.84963,,7.97105,3.405,7.08153,,2.92129,,4.89654,
2006-02-06,5.66931,4.22869,,,,2.54,3.13568,,4.32,,5.94918,,7.97105,3.42,7.08153,,2.93333,,4.92504,
2006-02-07,5.70949,4.23025,,,,2.54,3.1356,,4.32,,6.0491,,8.01106,3.39,7.08377,,2.93243,,4.90791,
2006-02-08,5.66716,4.25293,,,,2.5508,3.12073,,4.37014,,6.04974,,8.00204,3.37,7.04535,,2.91445,,4.94029,
2006-02-09,5.62197,4.24251,,,,2.53027,3.10708,,4.44015,,6.04955,,8.00168,3.37,6.96334,,2.88776,,4.94876,
2006-02-10,5.61129,4.23198,,,,2.5,3.09479,,4.44015,,6.04955,,8.00103,3.245,6.97222,,2.8692,,4.97842,
2006-02-13,5.63931,4.21152,,,,2.52,3.12092,,4.49,,6.07401,,7.99133,3.285,6.9952,,2.89006,,4.97103,
2006-02-14,5.62491,4.22322,,,,2.5,3.09827,,4.48,,6.07395,,7.96123,3.3,6.9582,,2.89024,,4.98837,
2006-02-15,5.62064,4.22984,,,,2.39085,3.1054,,4.51012,,6.07455,,7.97207,3.315,6.95513,,2.89341,,4.99443,
2006-02-16,5.62149,4.21016,,,,2.3603,3.11494,,4.48016,,6.07432,,7.87142,3.31,6.92513,,2.78679,,4.99637,
2006-02-17,5.62357,4.18455,,,,2.35,3.08242,,4.45018,,6.07432,,7.86088,3.295,6.92231,,2.72809,,4.96577,
2006-02-20,5.60604,4.18455,,,,2.35,3.06845,,4.4,,6.07385,,7.86088,3.295,6.92333,,2.72809,,4.96577,
2006-02-21,5.61468,4.19511,,,,2.36,3.0959,,4.39,,6.07392,,7.86119,3.31,6.93337,,2.76866,,4.99998,
2006-02-22,5.62449,4.18524,,,,2.40083,3.1125,,4.44011,,6.07447,,7.82158,3.31,6.96069,,2.78154,,4.98699,
2006-02-23,5.61449,4.22408,,,,2.54032,3.16506,,4.40021,,6.07421,,7.8414,3.335,6.96909,,2.77319,,5.02997,
2006-02-24,5.62476,4.24071,,,,2.51,3.18033,,4.43017,,6.07421,,7.86097,3.33,6.96244,,2.78527,,5.02409,
2006-02-27,5.65701,4.2531,,,,2.52,3.22509,,4.45,,6.07364,,7.84092,3.355,6.97334,,2.83286,,5.03916,
2006-02-28,5.6602,4.207,,,,2.52084,3.20714,,4.48005,,6.04934,,7.80184,3.34,6.97355,,2.84488,,4.9963,
2006-03-01,5.63167,4.21788,,,,2.51058,3.22501,,4.45013,,6.04911,,7.71121,3.38,6.94714,,2.85042,,5.01655,
2006-03-02,5.63899,4.21543,,,,2.56,3.27095,,4.44,,6.07357,,7.76155,3.422,6.93275,,2.8822,,5.03679,
2006-03-03,5.6644,4.24914,,,,2.6,3.30508,,4.46,,6.07357,,7.80153,3.463,6.94751,,2.92425,,5.06967,
2006-03-06,5.69333,4.24941,,,,2.63,3.30668,,4.49,,6.07349,,7.90164,3.48,6.95941,,2.91765,,5.10123,
2006-03-07,5.68508,4.21032,,,,2.66082,3.31059,,4.56011,,6.0741,,8.01276,3.498,6.9408,,2.91539,,5.10652,
2006-03-08,5.67932,4.16132,,,,2.67054,3.3227,,4.57019,,6.07402,,8.04264,3.513,6.94004,,2.91507,,5.0937,
2006-03-09,5.71134,4.18914,,,,2.67,3.32329,,4.56,,6.07373,,8.00216,3.525,6.96665,,2.93273,,5.09726,
2006-03-10,5.71002,4.21596,,,,2.72,3.35792,,4.57,,6.07373,,7.97201,3.645,6.98888,,2.97657,,5.11945,
2006-03-13,5.75041,4.22212,,,,2.72,3.37447,,4.64,,6.07393,,7.99234,3.63,6.99123,,2.98398,,5.13722,
2006-03-14,5.73804,4.17486,,,,2.68082,3.34228,,4.65012,,6.07393,,7.88431,3.56,6.95733,,2.95058,,5.04034,
2006-03-15,5.69455,4.17765,,,,2.68054,3.36732,,4.57014,,6.07386,,7.86339,3.586,6.91681,,2.97683,,5.05486,
2006-03-16,5.69577,4.12259,,,,2.67,3.37101,,4.56,,6.07326,,7.80266,3.565,6.86718,,2.98844,,4.95733,
2006-03-17,5.6517,4.15355,,,,2.69,3.40168,,4.5,,6.07326,,7.8444,3.62,6.85162,,3.01765,,4.98128,
2006-03-20,5.65205,4.17071,,,,2.665,3.38404,,4.52,,6.07318,,7.8444,3.59,6.85169,,3.00198,,4.97283,
2006-03-21,5.6549,4.20823,,,,2.69082,3.39601,,4.54019,,6.07377,,7.8444,3.585,6.86646,,3.01903,,5.05278,
2006-03-22,5.68576,4.24137,,,,2.73054,3.38254,,4.60024,,6.09854,,7.9899,3.58,6.87145,,3.01235,,5.06791,
2006-03-23,5.67733,4.25376,,,,2.72,3.3964,,4.62,,6.06821,,8.05983,3.585,6.83805,,3.02512,,5.1015,
2006-03-24,5.68706,4.19801,,,,2.7199,3.36911,,4.67,,6.06821,,8.01236,3.565,6.68091,,2.99523,,5.03153,
2006-03-27,5.64709,4.22965,,,,2.71956,3.36094,,4.59983,,6.06846,,8.16252,3.575,6.62463,,2.98999,,5.04355,
2006-03-28,5.64825,4.28114,,,,2.79938,3.45179,,4.58977,,6.06846,,8.18473,3.65,6.67716,,3.05478,,5.1209,
2006-03-29,5.689,4.31834,,,,2.8494,3.47778,,4.63978,,6.0676,,8.17403,3.66,6.73115,,3.08595,,5.14126,
2006-03-30,5.69084,4.32313,,,,2.86,3.49078,,4.64,,6.06804,,8.08298,3.67,6.74574,,3.14907,,5.18745,
2006-03-31,5.72059,4.31596,,,,2.85,3.5012,,4.68,,6.06804,,8.06296,3.68667,6.78121,,3.13664,,5.18892,
2006-04-03,5.73136,4.3417,,,,2.85,3.53717,,4.72013,,6.17783,,8.00275,3.731,6.77249,,3.20838,,5.21188,
2006-04-04,5.76344,4.36689,,,,2.85005,3.53994,,4.76015,,6.17842,,8.04427,3.723,6.81499,,3.18765,,5.18192,
2006-04-05,5.79785,4.34968,,,,2.86072,3.52475,,4.76015,,6.09824,,8.15352,3.734,6.79621,,3.17726,,5.14581,
2006-04-06,5.89021,4.36744,,,,2.87,3.50103,,4.68,,6.09779,,8.31292,3.72,6.78785,,3.15703,,5.17568,
2006-04-07,5.89101,4.42961,,,,2.9,3.45675,,4.68,,6.09779,,8.3229,3.69,6.79899,,3.13707,,5.23486,
2006-04-10,5.91894,4.44912,,,,2.87,3.48294,,4.71,,6.09779,,8.35273,3.7,6.80587,,3.1559,,5.2394,
2006-04-11,5.94804,4.44167,,,,2.83005,3.47179,,4.7302,,6.09779,,8.27463,3.65,6.76956,,3.14119,,5.21844,
2006-04-12,5.91729,4.43831,,,,2.8304,3.48227,,4.72,,6.09763,,8.26318,3.63,6.76155,,3.16356,,5.21844,
2006-04-13,5.9507,4.45485,,,,2.87,3.52846,,4.76006,,6.09763,,8.26318,3.63,6.83954,,3.21378,,5.21844,
2006-04-17,5.9507,4.39976,,,,2.87,3.52846,,4.76006,,6.09763,,8.23313,3.63,6.83954,,3.21378,,5.24715,
2006-04-18,5.94439,4.34308,,,,2.88008,3.52086,,4.75026,,6.09714,,8.14425,3.68,6.87822,,3.19714,,5.17444,
2006-04-19,5.92571,4.38224,,,,2.89041,3.51254,,4.67017,,6.09714,,8.11315,3.665,6.86961,,3.1586,,5.19541,
2006-04-20,5.95184,4.41286,,,,2.91,3.50924,,4.7,,6.0176,,8.08227,3.605,6.89851,,3.12549,,5.21674,
2006-04-21,5.97855,4.38926,,,,2.91,3.50877,,4.71,,6.0176,,8.03245,3.645,6.9265,,3.13405,,5.23337,
2006-04-24,5.97002,4.37278,,,,2.89,3.51816,,4.69,,6.01743,,8.01249,3.64,6.94256,,3.14827,,5.21517,
2006-04-25,5.97002,4.464,,,,2.94005,3.58048,,4.65022,,6.0177,,8.02405,3.68,6.94256,,3.21484,,5.27176,
2006-04-26,6.04247,4.49404,,,,3.00041,3.60598,,4.72032,,6.01768,,8.06331,3.75,6.99793,,3.23138,,5.321441,
2006-04-27,6.06985,4.47321,,,,3.01,3.602,,4.76028,,6.01736,,8.02273,3.73,6.97403,,3.22077,,5.24797,
2006-04-28,6.0467,4.43976,,,,3.01,3.59983,,4.70026,,6.01736,,7.95268,3.74,6.92635,,3.22678,,5.21342,
2006-05-01,6.03573,4.47521,,,,3.01,3.59983,,4.70026,,6.01736,,7.95268,3.74,6.95392,,3.22678,,5.27487,
2006-05-02,6.05831,4.46784,,,,3.02106,3.61109,,4.74036,,6.01757,,7.93384,3.755,7.01158,,3.23905,,5.27698,
2006-05-03,6.11398,4.49219,,,,3.00068,3.61007,,4.72046,,6.01757,,7.91224,3.77,7.03273,,3.2338,,5.30529,
2006-05-04,6.1334,4.47451,,,,3.02,3.62823,,4.72041,,6.01719,,7.92238,3.825,7.05008,,3.2419,,5.32294,
2006-05-05,6.10352,4.48755,,,,2.92,3.6129,,4.72041,,6.01719,,7.90229,3.815,7.0495,,3.21538,,5.28976,
2006-05-08,6.08922,4.48928,,,,2.92,3.63379,,4.66024,,6.02746,,7.93234,3.838,7.02948,,3.22315,,5.31932,
2006-05-09,6.10783,4.44372,,,,2.89108,3.64114,,4.68036,,6.0976,,7.90385,3.86,7.05193,,3.22316,,5.31656,
2006-05-10,6.15839,4.45898,,,,2.85069,3.62063,,4.66023,,6.01742,,7.89295,3.83,7.06793,,3.19645,,5.33295,
2006-05-11,6.1468,4.41864,,,,2.84,3.65994,,4.65,,6.01705,,7.94235,3.865,7.0852,,3.25948,,5.33152,
2006-05-12,6.14287,4.40076,,,,2.84,3.64252,,4.67031,,6.01705,,8.03273,3.845,7.10986,,3.26482,,5.33941,
2006-05-15,6.15057,4.4066,,,,2.89151,3.56912,,4.72035,,6.01724,,8.13287,3.82,7.10167,,3.21708,,5.31719,
2006-05-16,6.12336,4.38859,,,,2.84107,3.53869,,4.70033,,6.01737,,8.04372,3.81,7.0717,,3.19025,,5.27415,
2006-05-17,6.12522,4.41846,,,,2.86073,3.58116,,4.66014,,6.02226,,8.16327,3.81,7.05792,,3.23028,,5.31963,
2006-05-18,6.15522,4.35209,,,,2.82,3.53618,,4.69,,6.09684,,8.14241,3.81,7.08501,,3.19421,,5.27394,
2006-05-19,6.10933,4.40693,,,,2.8,3.53451,,4.72035,,6.09684,,8.15235,3.82,7.05413,,3.21532,,5.30515,
2006-05-22,6.08234,4.40693,,,,2.78,3.49672,,4.73007,,6.09724,,8.23244,3.793,7.06621,,3.16611,,5.28827,
